Airline,AirlineID,SourceIATA,SourceAirportID,DestinationIATA,DestinationAirportID,Codeshare,Stops,Equipment,SourceCity,DestinationCity
2B,410,AER,2965,KZN,2990,,0,CR2,Sochi,Kazan
2B,410,ASF,2966,KZN,2990,,0,CR2,Astrakhan,Kazan
2B,410,ASF,2966,MRV,2962,,0,CR2,Astrakhan,Mineralnye Vody
2B,410,CEK,2968,KZN,2990,,0,CR2,Chelyabinsk,Kazan
2B,410,CEK,2968,OVB,4078,,0,CR2,Chelyabinsk,Novosibirsk
2B,410,DME,4029,KZN,2990,,0,CR2,Moscow,Kazan
2B,410,DME,4029,NBC,6969,,0,CR2,Moscow,Nizhnekamsk
2B,410,DME,4029,TGK,\N,,0,CR2,Moscow,Taganrog
2B,410,DME,4029,UUA,6160,,0,CR2,Moscow,Bugulma
2B,410,EGO,6156,KGD,2952,,0,CR2,Belgorod,Kaliningrad
2B,410,EGO,6156,KZN,2990,,0,CR2,Belgorod,Kazan
2B,410,GYD,2922,NBC,6969,,0,CR2,Baku,Nizhnekamsk
2B,410,KGD,2952,EGO,6156,,0,CR2,Kaliningrad,Belgorod
2B,410,KZN,2990,AER,2965,,0,CR2,Kazan,Sochi
2B,410,KZN,2990,ASF,2966,,0,CR2,Kazan,Astrakhan
2B,410,KZN,2990,CEK,2968,,0,CR2,Kazan,Chelyabinsk
2B,410,KZN,2990,DME,4029,,0,CR2,Kazan,Moscow
2B,410,KZN,2990,EGO,6156,,0,CR2,Kazan,Belgorod
2B,410,KZN,2990,LED,2948,,0,CR2,Kazan,St. Petersburg
2B,410,KZN,2990,SVX,2975,,0,CR2,Kazan,Yekaterinburg
2B,410,LED,2948,KZN,2990,,0,CR2,St. Petersburg,Kazan
2B,410,LED,2948,NBC,6969,,0,CR2,St. Petersburg,Nizhnekamsk
2B,410,LED,2948,UUA,6160,,0,CR2,St. Petersburg,Bugulma
2B,410,MRV,2962,ASF,2966,,0,CR2,Mineralnye Vody,Astrakhan
2B,410,NBC,6969,DME,4029,,0,CR2,Nizhnekamsk,Moscow
2B,410,NBC,6969,GYD,2922,,0,CR2,Nizhnekamsk,Baku
2B,410,NBC,6969,LED,2948,,0,CR2,Nizhnekamsk,St. Petersburg
2B,410,NBC,6969,SVX,2975,,0,CR2,Nizhnekamsk,Yekaterinburg
2B,410,NJC,2972,SVX,2975,,0,CR2,Nizhnevartovsk,Yekaterinburg
2B,410,NJC,2972,UUA,6160,,0,CR2,Nizhnevartovsk,Bugulma
2B,410,NUX,4364,SVX,2975,,0,CR2,Novy Urengoy,Yekaterinburg
2B,410,OVB,4078,CEK,2968,,0,CR2,Novosibirsk,Chelyabinsk
2B,410,OVB,4078,SVX,2975,,0,CR2,Novosibirsk,Yekaterinburg
2B,410,SVX,2975,KZN,2990,,0,CR2,Yekaterinburg,Kazan
2B,410,SVX,2975,NBC,6969,,0,CR2,Yekaterinburg,Nizhnekamsk
2B,410,SVX,2975,NJC,2972,,0,CR2,Yekaterinburg,Nizhnevartovsk
2B,410,SVX,2975,NUX,4364,,0,CR2,Yekaterinburg,Novy Urengoy
2B,410,SVX,2975,OVB,4078,,0,CR2,Yekaterinburg,Novosibirsk
2B,410,TGK,\N,DME,4029,,0,CR2,Taganrog,Moscow
2B,410,UUA,6160,DME,4029,,0,CR2,Bugulma,Moscow
2B,410,UUA,6160,LED,2948,,0,CR2,Bugulma,St. Petersburg
2B,410,UUA,6160,NJC,2972,,0,CR2,Bugulma,Nizhnevartovsk
2G,1654,BTK,2936,IKT,2937,,0,A81,Bratsk,Irkutsk
2G,1654,BTK,2936,OVB,4078,,0,A81,Bratsk,Novosibirsk
2G,1654,CEK,2968,OVB,4078,,0,A81,Chelyabinsk,Novosibirsk
2G,1654,HTA,2935,IKT,2937,,0,AN4,Chita,Irkutsk
2G,1654,IKT,2937,BTK,2936,,0,A81,Irkutsk,Bratsk
2G,1654,IKT,2937,HTA,2935,,0,AN4,Irkutsk,Chita
2G,1654,IKT,2937,KCK,\N,,0,AN4,Irkutsk,Kirensk
2G,1654,IKT,2937,ODO,8944,,0,AN4,Irkutsk,Bodaibo
2G,1654,IKT,2937,OVB,4078,,0,A81,Irkutsk,Novosibirsk
2G,1654,IKT,2937,UKX,6924,,0,AN4,Irkutsk,Ust-Kut
2G,1654,IKT,2937,ULK,9026,,0,AN4,Irkutsk,Lensk
2G,1654,IKT,2937,YKS,2923,,0,A81,Irkutsk,Yakutsk
2G,1654,KCK,\N,IKT,2937,,0,AN4,Kirensk,Irkutsk
